"","X_km","Y_km","Conc"
"657",497.96,5443.474,3
"658",498.06,5443.024,4
"659",498.21,5443.824,4
"660",498.01,5443.524,3
"661",497.81,5442.824,10
"662",498.26,5443.874,5
"663",496.265,5443.966,0
"664",497.26,5442.674,2
"665",498.16,5443.724,5
"666",497.56,5442.824,6
"667",498.06,5443.574,3
"668",497.01,5442.624,8
"669",497.86,5443.324,3
"670",496.91,5442.624,10
"671",497.06,5442.624,5
"672",497.86,5443.274,2
"673",497.86,5442.824,11
"674",498.21,5443.774,3
"675",497.31,5442.674,2
"676",496.91,5442.574,9
"677",497.11,5442.624,3
"678",497.41,5442.724,1
"679",497.51,5442.774,7
"680",497.16,5442.624,3
"681",498.06,5443.074,1
"682",496.81,5442.574,9
"683",496.96,5442.574,9
"684",497.71,5442.774,9
"685",498.26,5443.824,3
"686",496.76,5442.574,12
"687",497.96,5442.924,4
"688",497.81,5442.774,8
"689",497.91,5443.374,4
"690",498.11,5443.624,2
"691",497.76,5442.774,8
"692",497.011,5444.228,0
"693",497.96,5443.224,1
"694",498.16,5443.674,4
"695",497.977,5442.929,3
"696",497.36,5442.674,1
"697",498.01,5443.174,2
"698",496.86,5442.574,9
"699",497.56,5442.774,6
"700",497.91,5443.324,2
"701",497.66,5442.774,10
"702",497.91,5442.874,6
"703",497.01,5442.574,5
"704",497.21,5442.624,2
"705",497.91,5443.274,1
"706",498.21,5443.724,4
"707",498.31,5443.874,1
"708",497.61,5442.774,7
"709",495.771,5443.241,0
"710",497.86,5442.774,8
"711",498.26,5443.774,4
"712",497.06,5442.574,3
"713",497.96,5443.424,3
"714",497.852,5442.751,7
"715",497.46,5442.724,5
"716",498.06,5443.524,2
"717",496.265,5442.516,14
"718",498.11,5443.574,2
"719",498.01,5443.474,3
"720",496.018,5442.516,11
"721",498.31,5443.824,2
"722",497.26,5442.624,2
"723",497.11,5442.574,3
"724",497.81,5442.724,7
"725",497.91,5442.824,10
"726",497.86,5442.724,7
"727",496.76,5442.524,10
"728",496.512,5442.516,15
"729",498.01,5442.924,3
"730",496.86,5442.524,9
"731",498.06,5443.124,1
"732",497.16,5442.574,2
"733",497.91,5442.774,9
"734",496.81,5442.524,9
"735",496.91,5442.524,8
"736",496.96,5442.524,7
"737",497.96,5443.274,1
"738",497.71,5442.724,6
"739",498.06,5442.974,4
"740",497.41,5442.674,0
"741",497.66,5442.724,6
"742",497.76,5442.724,7
"743",497.31,5442.624,2
"744",497.51,5442.724,6
"745",497.56,5442.724,6
"746",498.16,5443.624,2
"747",498.26,5443.724,2
"748",498.36,5443.874,1
"749",497.726,5444.368,2
"750",497.01,5442.524,4
"751",497.96,5443.324,2
"752",497.91,5442.724,8
"753",498.21,5443.674,2
"754",498.31,5443.774,1
"755",497.96,5442.874,6
"756",495.771,5442.516,3
"757",497.61,5442.724,7
"758",497.71,5442.674,8
"759",497.96,5442.774,6
"760",497.96,5442.824,5
"761",497.96,5443.374,1
"762",497.76,5442.674,7
"763",498.36,5443.824,1
"764",497.46,5442.674,2
"765",498.01,5442.874,3
"766",498.06,5442.924,2
"767",497.26,5442.574,2
"768",497.86,5442.674,5
"769",496.76,5442.474,7
"770",497.81,5442.674,6
"771",497.21,5442.574,2
"772",497.91,5442.674,6
"773",498.11,5443.024,1
"774",498.01,5442.824,3
"775",498.01,5443.424,1
"776",498.06,5443.474,2
"777",497.66,5442.674,6
"778",498.112,5442.994,2
"779",497.06,5442.524,3
"780",497.36,5442.624,0
"781",497.96,5442.724,6
"782",498.06,5442.874,2
"783",497.11,5442.524,3
"784",498.01,5442.774,3
"785",496.86,5442.474,8
"786",497.96,5442.674,5
"787",498.11,5442.974,2
"788",498.451,5444.121,0
"789",497.61,5442.674,6
"790",496.91,5442.474,7
"791",497.81,5442.624,4
"792",497.91,5442.624,5
"793",498.11,5442.924,2
"794",497.86,5442.624,5
"795",498.01,5443.224,1
"796",498.01,5443.374,1
"797",498.06,5442.824,3
"798",498.11,5442.874,2
"799",498.26,5443.674,1
"800",496.81,5442.474,8
"801",498.11,5443.524,2
"802",497.71,5442.624,6
"803",497.56,5442.674,6
"804",497.96,5442.624,5
"805",498.01,5442.724,4
"806",498.16,5443.574,2
"807",497.16,5442.524,1
"808",498.11,5443.074,1
"809",497.31,5442.574,1
"810",498.01,5442.624,4
"811",497.734,5444.436,1
"812",496.96,5442.474,4
"813",497.86,5442.574,4
"814",498.06,5442.724,3
"815",497.76,5442.624,6
"816",497.91,5442.574,4
"817",498.01,5442.674,5
"818",498.21,5443.624,1
"819",497.968,5444.368,0
"820",498.01,5443.274,1
"821",498.01,5443.324,0
"822",498.11,5442.674,4
"823",498.31,5443.724,1
"824",497.96,5442.574,3
"825",498.36,5443.774,1
"826",498.06,5442.674,4
"827",498.11,5442.824,1
"828",497.66,5442.624,5
"829",498.06,5442.774,2
"830",498.06,5443.174,0
"831",498.16,5442.974,1
"832",497.41,5442.624,0
"833",498.11,5442.724,3
"834",498.11,5442.774,2
"835",498.11,5443.124,0
"836",497.01,5442.474,3
"837",497.21,5442.524,2
"838",497.51,5442.674,3
"839",498.06,5442.624,3
"840",498.16,5442.924,1
"841",498.16,5443.024,0
"842",497.81,5442.574,5
"843",495.524,5442.758,0
"844",496.76,5442.424,8
"845",496.81,5442.424,8
"846",496.86,5442.424,7
"847",497.96,5442.524,2
"848",498.01,5442.524,2
"849",498.06,5442.574,3
"850",497.91,5442.524,2
"851",498.16,5443.074,0
"852",498.01,5442.574,3
"853",498.06,5443.424,1
"854",498.16,5442.824,0
"855",498.11,5442.624,4
"856",498.06,5443.374,1
"857",498.16,5442.624,3
"858",498.16,5442.674,3
"859",497.485,5444.368,2
"860",497.61,5442.624,5
"861",497.96,5442.474,1
"862",498.16,5442.874,1
"863",496.91,5442.424,5
"864",498.11,5443.474,1
"865",497.76,5442.574,6
"866",498.01,5442.474,2
"867",498.06,5442.524,2
"868",498.21,5442.974,0
"869",495.524,5442.999,0
"870",497.46,5442.624,0
"871",497.71,5442.574,4
"872",498.06,5442.474,1
"873",498.21,5442.924,1
"874",497.06,5442.474,3
"875",497.36,5442.574,0
"876",498.11,5442.574,4
"877",498.16,5442.724,2
"878",498.16,5443.124,0
"879",498.11,5443.174,0
"880",495.771,5443.483,0
"881",497.26,5442.524,1
"882",497.86,5442.524,4
"883",498.06,5443.274,0
"884",498.16,5442.774,1
"885",497.223,5444.347,0
"886",498.06,5443.224,0
"887",498.11,5442.524,3
"888",498.16,5442.574,4
"889",498.16,5443.524,1
"890",497.51,5442.624,3
"891",498.21,5442.674,2
"892",498.21,5442.824,0
"893",497.11,5442.474,1
"894",498.21,5443.024,0
"895",496.018,5442.274,5
"896",497.91,5442.474,3
"897",498.06,5443.324,0
"898",498.21,5442.574,2
"899",496.512,5444.208,0
"900",495.535,5442.548,0
"901",496.81,5442.374,6
"902",497.01,5442.424,3
"903",497.81,5442.524,5
"904",498.01,5442.424,1
"905",498.06,5442.424,0
"906",498.21,5442.874,0
"907",497.56,5442.624,4
"908",497.96,5442.424,1
"909",498.11,5442.474,1
"910",498.21,5442.774,0
"911",497.16,5442.474,1
"912",497.21,5442.474,0
"913",498.11,5442.424,1
"914",498.21,5443.074,0
"915",498.36,5443.724,1
"916",495.771,5442.274,3
"917",497.41,5442.574,0
"918",497.76,5442.524,5
"919",497.86,5442.474,4
"920",498.21,5442.624,3
"921",497.66,5442.574,4
"922",498.21,5443.574,1
"923",495.524,5442.516,1
"924",496.96,5442.424,3
"925",497.31,5442.524,0
"926",498.01,5442.374,1
"927",498.11,5442.374,0
"928",498.16,5442.524,4
"929",498.31,5443.674,1
"930",497.46,5442.574,0
"931",498.11,5443.424,1
"932",498.16,5442.474,3
"933",498.21,5442.524,4
"934",498.21,5442.724,1
"935",496.76,5442.374,7
"936",498.11,5443.224,0
"937",497.91,5442.424,2
"938",498.06,5442.374,1
"939",498.21,5442.474,4
"940",498.26,5442.774,0
"941",497.51,5442.574,0
"942",498.11,5443.274,0
"943",498.26,5442.524,3
"944",497.06,5442.424,2
"945",497.61,5442.574,5
"946",497.71,5442.524,3
"947",497.96,5442.374,1
"948",498.11,5443.324,0
"949",498.16,5443.174,0
"950",498.26,5442.924,0
"951",496.018,5443.966,0
"952",498.21,5443.124,0
"953",498.26,5442.624,1
"954",498.26,5442.824,0
"955",498.26,5442.874,0
"956",498.26,5442.974,0
"957",498.26,5443.024,0
"958",498.26,5443.624,1
"959",497.81,5442.474,4
"960",498.16,5442.374,0
"961",498.16,5442.424,1
"962",498.26,5442.474,2
"963",498.31,5442.774,0
"964",497.76,5442.474,2
"965",498.26,5442.574,2
"966",496.512,5442.274,4
"967",497.26,5442.474,0
"968",497.36,5442.524,0
"969",498.11,5442.324,0
"970",498.16,5442.324,0
"971",498.21,5442.424,2
"972",498.26,5442.674,0
"973",496.265,5442.274,6
"974",498.16,5443.474,1
"975",498.26,5442.424,1
"976",496.86,5442.374,4
"977",497.11,5442.424,1
"978",498.21,5442.374,0
"979",498.26,5442.724,0
"980",497.91,5442.374,3
"981",498.11,5443.374,1
"982",497.243,5444.368,0
"983",497.56,5442.574,2
"984",498.06,5442.324,1
"985",498.21,5442.324,0
"986",498.26,5442.374,0
"987",498.26,5443.074,0
"988",497.81,5442.424,2
"989",498.16,5443.224,0
"990",498.21,5443.524,1
"991",498.31,5442.524,1
"992",496.91,5442.374,3
"993",497.86,5442.424,3
"994",496.96,5442.374,3
